address,price,beds,baths,area,zpid,id,detailUrl,marketingStatusSimplifiedCd,builderName,isUndisclosedAddress,isZillowOwned,beds_missing,baths_missing,area_missing,lotArea_acres,latitude,longitude,builderName_encoded,price_per_sq_ft,price_range
"2600 13th Rd S APT 392, Arlington, VA 22204",0.14696969696969697,2.0,2.0,0.08353846153846155,12103562,12103562,https://www.zillow.com/homedetails/2600-13th-Rd-S-APT-392-Arlington-VA-22204/12103562_zpid/,coming_soon,,0,0,0,0,0,0.0,38.85977,-77.08375,91,446.5930018416206,Low
"1541 N Carolina Ave NE, Washington, DC 20002",0.3484848484848485,3.0,4.0,0.19538461538461538,425748,425748,https://www.zillow.com/homedetails/1541-N-Carolina-Ave-NE-Washington-DC-20002/425748_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.892773,-76.98295,91,452.755905511811,High
"5348 29th St NW, Washington, DC 20015",0.3621212121212121,4.0,4.0,0.1606923076923077,458388,458388,https://www.zillow.com/homedetails/5348-29th-St-NW-Washington-DC-20015/458388_zpid/,coming_soon,,0,0,0,0,0,0.0,38.96019,-77.05902,91,572.0440402106271,High
"36 Channing St NW #A, Washington, DC 20001",0.12906060606060607,3.0,2.0,0.36923076923076925,344613704,344613704,https://www.zillow.com/homedetails/36-Channing-St-NW-A-Washington-DC-20001/344613704_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.92219,-77.01049,91,88.72916666666667,Low
"4100 W W St NW #411, Washington, DC 20007",0.0984848484848485,2.0,1.0,0.05592307692307692,351580057,351580057,https://www.zillow.com/homedetails/4100-W-W-St-NW-411-Washington-DC-20007/351580057_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.91934,-77.08196,91,447.0426409903714,Low
"2521-2521A Minnesota Ave SE, Washington, DC 20020",0.0787878787878788,3.0,2.0,0.07307692307692308,2061192388,2061192388,https://www.zillow.com/homedetails/2521-2521A-Minnesota-Ave-SE-Washington-DC-20020/2061192388_zpid/,new_construction,,0,0,0,0,0,0.0,38.8739,-76.9695,91,273.6842105263158,Low
"1126 Montello Ave NE, Washington, DC 20002",0.18181818181818182,3.0,2.0,0.16792307692307692,501112,501112,https://www.zillow.com/homedetails/1126-Montello-Ave-NE-Washington-DC-20002/501112_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.90352,-76.98989,91,274.85112230874944,Medium
"1722 Preston Rd, Alexandria, VA 22302",0.13484848484848486,2.0,1.0,0.07153846153846154,192143223,192143223,https://www.zillow.com/homedetails/1722-Preston-Rd-Alexandria-VA-22302/192143223_zpid/,for_sale_by_agent,,0,0,0,0,0,0.0,38.83568,-77.08254,91,478.494623655914,Low
"1679 Montello Ave NE, Washington, DC 20002",0.303,6.0,4.0,0.17507692307692307,88802823,88802823,https://www.zillow.com/homedetails/1679-Montello-Ave-NE-Washington-DC-20002/88802823_zpid/,coming_soon,,0,0,0,0,0,0.0,38.9088,-76.98572,91,439.32337434094904,Medium
"3217 6th St S, Arlington, VA 22204",0.26966666666666667,3.0,2.0,0.10830769230769231,12092790,12092790,https://www.zillow.com/homedetails/3217-6th-St-S-Arlington-VA-22204/12092790_zpid/,coming_soon,,0,0,0,0,0,0.0,38.867413,-77.09202,91,632.03125,Medium
