city,state,zipcode,bedrooms,bathrooms,price,yearBuilt,lotSize,livingArea,daysOnZillow,monthlyHoaFee,latitude,longitude,homeType,streetAddress,zestimate,propertyTaxRate,bedrooms_missing,bathrooms_missing,yearBuilt_missing,livingArea_missing,price_per_sqft
Washington,DC,20001,3.0,2.0,849500,1907.0,1499.0,1950.0,0,0.0,38.91071,-77.01239,TOWNHOUSE,1536 1st St NW,,0.58,0,0,0,0,435.64102564102564
Washington,DC,20002,3.0,3.0,925000,1912.0,1008.0,1360.0,4,0.0,38.89662,-76.99799,TOWNHOUSE,605 Acker Pl NE,986100.0,0.58,0,0,0,0,680.1470588235294
Washington,DC,20010,5.0,5.0,1069000,1910.0,1254.0,2344.0,1,0.0,38.93392,-77.02516,SINGLE_FAMILY,824 Otis Pl NW,1085300.0,0.58,0,0,0,0,456.0580204778157
Washington,DC,20024,1.0,2.0,860000,2020.0,9278.752391886721,883.0,0,774.0,38.8645,-77.01182,CONDO,88 V St SW APT 807,858500.0,0.58,0,0,0,0,973.9524348810872
Washington,DC,20011,2.0,2.0,324900,1920.0,9278.752391886721,1001.0,553,0.0,38.93954,-77.03383,TOWNHOUSE,1422 Shepherd St NW #1,,0.58,0,0,0,0,324.57542457542456
Washington,DC,20024,2.0,2.0,199999,1962.0,9278.752391886721,850.0,14,2079.0,38.8742,-77.01545,CONDO,1301 Delaware Ave SW APT N614,188500.0,0.0,0,0,0,0,235.29294117647058
Washington,DC,20009,2.0,1.0,423334,2006.0,9278.752391886721,1030.0,18,668.0,38.92524,-77.03265,CONDO,2750 14th St NW APT 302,411100.0,0.58,0,0,0,0,411.00388349514566
Washington,DC,20007,3.0,3.0,1099000,1980.0,9278.752391886721,1132.0,98,550.0,38.90323,-77.06405,TOWNHOUSE,1015 Paper Mill Ct NW #1015,,0.58,0,0,0,0,970.8480565371025
Washington,DC,20009,2.0,1.0,589000,1913.0,9278.752391886721,1265.0,5,1414.0,38.922,-77.04444,CONDO,1840 Biltmore St NW APT 33,,0.0,0,0,0,0,465.6126482213439
Washington,DC,20002,3.0,3.0,487300,2024.0,9278.752391886721,1200.0,21,276.0,38.898136,-76.98016,TOWNHOUSE,1657 Gales NE #1,,0.58,0,0,0,0,406.0833333333333
Washington,DC,20005,3.0,2.0,1375000,1875.0,9278.752391886721,1702.0,8,436.0,38.907375,-77.02892,TOWNHOUSE,1217 N St NW #PENTHOUSE,1356900.0,0.58,0,0,0,0,807.8730904817861
Washington,DC,20024,3.0,2.0,549900,1962.0,9278.752391886721,1643.0,42,3039.0,38.87355,-77.016685,TOWNHOUSE,379 O St SW #T,526400.0,0.58,0,0,0,0,334.6926354230067
Hyattsville,MD,20781,3.0,2.0,479000,1919.0,13200.0,1432.0,1,0.0,38.94772,-76.9476,SINGLE_FAMILY,4703 Banner St,369000.0,1.07,0,0,0,0,334.4972067039106
Alexandria,VA,22301,3.0,2.0,875000,1910.0,5750.0,1313.0,2,0.0,38.82666,-77.05997,SINGLE_FAMILY,103 E Oxford Ave,1025200.0,0.97,0,0,0,0,666.4127951256664
Washington,DC,20001,3.0,2.0,425900,1908.0,9278.752391886721,4800.0,82,165.0,38.92219,-77.01049,TOWNHOUSE,36 Channing St NW #A,403100.0,0.58,0,0,0,0,88.72916666666667
Washington,DC,20007,2.0,1.0,325000,1950.0,9278.752391886721,727.0,0,478.0,38.91934,-77.08196,CONDO,4100 W W St NW #411,,0.58,0,0,0,0,447.0426409903714
Washington,DC,20020,3.0,2.0,260000,2022.0,9278.752391886721,950.0,15,192.0,38.8739,-76.9695,TOWNHOUSE,2521-2521A Minnesota Ave SE,253500.0,0.58,0,0,0,0,273.6842105263158
Arlington,VA,22209,2.0,2.0,600000,1987.0,9278.752391886721,1205.0,6,803.0,38.8932,-77.07378,CONDO,1600 N Oak St APT 125,598000.0,0.91,0,0,0,0,497.9253112033195
Washington,DC,20036,2.0,1.0,599000,1915.0,9278.752391886721,865.0,6,545.0,38.90882,-77.04546,CONDO,2007 O St NW APT 105,,0.58,0,0,0,0,692.485549132948
Washington,DC,20011,3.0,2.0,724900,1925.0,2637.0,2050.0,1,0.0,38.94452,-77.01485,TOWNHOUSE,213 Webster St NW,764800.0,0.58,0,0,0,0,353.609756097561
Arlington,VA,22204,2.0,2.0,485000,1939.0,9278.752391886721,1086.0,3,599.0,38.85977,-77.08375,TOWNHOUSE,2600 13th Rd S APT 392,501400.0,0.91,0,0,0,0,446.5930018416206
Washington,DC,20011,2.0,1.0,116900,2023.0,9278.752391886721,714.0,3,123.0,38.95665,-77.0202,TOWNHOUSE,505 Kennedy St NW UNIT 202,,0.58,0,0,0,0,163.72549019607843
Arlington,VA,22204,2.0,2.0,410000,1987.0,9278.752391886721,1090.0,7,419.0,38.86022,-77.09693,CONDO,3842 9th Rd S,411200.0,0.91,0,0,0,0,376.1467889908257
Washington,DC,20012,2.0,2.0,297700,2023.0,9278.752391886721,976.0,68,646.0,38.976837,-77.02767,CONDO,7175 12th St NW UNIT 414,,0.58,0,0,0,0,305.0204918032787
Washington,DC,20002,2.0,2.0,724900,1915.0,1088.0,980.0,1,0.0,38.89306,-76.98431,TOWNHOUSE,241 14th Pl NE,738200.0,0.58,0,0,0,0,739.6938775510204
Washington,DC,20020,1.0,1.0,150000,1940.0,9278.752391886721,630.0,1,300.0,38.86426,-76.94983,CONDO,2006 Fort Davis St SE APT 202,148700.0,0.58,0,0,0,0,238.0952380952381
Hyattsville,MD,20782,4.0,2.0,540000,1940.0,5559.0,1693.0,2,0.0,38.95551,-76.95799,SINGLE_FAMILY,5602 36th Ave,572200.0,1.07,0,0,0,0,318.96042528056705
Washington,DC,20020,2.0,1.0,175000,1947.0,1799.0,1024.0,0,0.0,38.84588,-76.97144,SINGLE_FAMILY,3464 23rd St SE,171500.0,0.58,0,0,0,0,170.8984375
Washington,DC,20016,4.0,4.0,1400000,1942.0,8169.0,3100.0,3,0.0,38.93508,-77.10918,SINGLE_FAMILY,5231 Watson St NW,1447300.0,0.58,0,0,0,0,451.61290322580646
Bethesda,MD,20816,3.0,4.0,1149000,1936.0,7139.0,1849.0,1,0.0,38.95603,-77.10394,SINGLE_FAMILY,5213 Worthington Dr,,0.81,0,0,0,0,621.4169821525148
Washington,DC,20009,2.0,2.0,729500,1911.0,9278.752391886721,1135.0,5,625.0,38.92175,-77.04657,CONDO,2415 20th St NW APT 27,734100.0,0.58,0,0,0,0,642.7312775330397
Washington,DC,20001,3.0,1.0,499000,1900.0,1552.0,1478.0,2,0.0,38.91187,-77.02073,TOWNHOUSE,1623 Marion St NW,,0.58,0,0,0,0,337.61840324763193
Takoma Park,MD,20912,3.0,2.0,698000,1941.0,6239.0,1620.0,5,0.0,38.97805,-76.99322,SINGLE_FAMILY,909 Larch Ave,612200.0,0.81,0,0,0,0,430.8641975308642
